The Sweetness at the Bottom of the Pie,Alan Bradley,Mystery Young Adult Fiction,April 28th 2009,374,Delacorte Press,English,0385342306,9780385342308,https://www.goodreads.com/book/show/6218281-the-sweetness-at-the-bottom-of-the-pie,
Engleby,Sebastian Faulks,Fiction Mystery Contemporary Mystery Crime,September 4th 2007,319,Doubleday,English,0385524056,9780385524056,https://www.goodreads.com/book/show/956719.Engleby,
God Is Dead,Ron Currie Jr.,Fiction Short Stories Religion Contemporary Science Fiction Dystopia,July 5th 2007,182,Viking Adult,English,0670038679,9780670038671,https://www.goodreads.com/book/show/1155314.God_Is_Dead,
Extras,Scott Westerfeld,Young Adult Science Fiction Dystopia Science Fiction,October 2nd 2007,417,Simon Pulse,English,1416951172,9781416951179,https://www.goodreads.com/book/show/493456.Extras,
The Tenth Circle,Jodi Picoult,Fiction Contemporary Womens Fiction Chick Lit Adult Fiction Adult,October 24th 2006,416,Allen & Ulwin,English,074349671X,9780743496711,https://www.goodreads.com/book/show/10909.The_Tenth_Circle,
Written in Red,Anne Bishop,Fantasy Paranormal Paranormal Vampires Fantasy Fantasy Urban Fantasy Shapeshifters Werewolves Adult Paranormal Shapeshifters,March 5th 2013,433,Roc,English,0451464966,9780451464965,https://www.goodreads.com/book/show/15711341-written-in-red,
Super Sad True Love Story,Gary Shteyngart,Fiction Science Fiction Dystopia Science Fiction Abandoned,July 27th 2010,331,Random House Publishing Group,English,1400066409,9781400066407,https://www.goodreads.com/book/show/7334201-super-sad-true-love-story,
My Dream of You,Nuala O'Faolain,Fiction Historical Historical Fiction Cultural Ireland European Literature Irish Literature,February 5th 2002,529,Riverhead Books,English,1573229083,9781573229081,https://www.goodreads.com/book/show/245579.My_Dream_of_You,
The Edge of Never,J.A. Redmerski,Romance New Adult Contemporary Romance Contemporary Romance Young Adult,November 15th 2012,426,Createspace,English,1480095532,9781480095533,https://www.goodreads.com/book/show/16081272-the-edge-of-never,
The Fall of Berlin 1945,Antony Beevor,History Nonfiction War World War II War Military Military History War Military,April 29th 2003,490,Penguin Books,English,0142002801,9780142002803,https://www.goodreads.com/book/show/42661.The_Fall_of_Berlin_1945,
The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,Nonfiction Politics Economics History Sociology,September 18th 2007,558,Metropolitan Books,English,0805079831,9780805079838,https://www.goodreads.com/book/show/1237300.The_Shock_Doctrine,
Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,Young Adult Science Fiction Dystopia Short Stories,April 23rd 2012,43,Katherine Tegen Books,English,006223742X,9780062237422,https://www.goodreads.com/book/show/13615258-free-four,
Me Before You,Jojo Moyes,Romance Fiction Audiobook Contemporary Love Womens Fiction Chick Lit European Literature British Literature Death Did Not Finish Adult,January 5th 2012,481,Michael Joseph (UK),English,0718157834,9780718157838,https://www.goodreads.com/book/show/12649718-me-before-you,
GraceLand,Chris Abani,Fiction Cultural Africa Western Africa Nigeria Literature African Literature,January 26th 2005,336,Picador,English,0312425287,9780312425289,https://www.goodreads.com/book/show/41250.GraceLand,
